_unit_id , male_score , female_score , brand_Score
815719428 , 0.00584619,0.922231,0.0719232
815719429 , 0.33,0.33,0.33
815719430 , 0.33,0.33,0.33
815719431 , 0.33,0.33,0.33
815719432 , 0.33,0.33,0.33
815719433 , 0.33,0.33,0.33
815719434 , 0.33,0.33,0.33
815719435 , 0.000699967,0.00018499,0.999115
815719436 , 0.33,0.33,0.33
815719437 , 0.0174268,0.000308805,0.982264
815719438 , 0.0529315,0.946224,0.000844367
815719439 , 0.33,0.33,0.33
815719440 , 0.33,0.33,0.33
815719441 , 0.33,0.33,0.33
815719442 , 0.33,0.33,0.33
815719443 , 0.33,0.33,0.33
815719444 , 0.863662,0.0076388,0.128699
815719445 , 0.248821,0.00840278,0.742776
815719446 , 0.33,0.33,0.33
815719447 , 0.33,0.33,0.33
815719448 , 0.33,0.33,0.33
815719449 , 0.33,0.33,0.33
815719450 , 0.895617,0.0450026,0.0593801
815719451 , 0.33,0.33,0.33
815719452 , 0.315354,0.41383,0.270816
815719453 , 0.33,0.33,0.33
815719454 , 0.33,0.33,0.33
815719455 , 0.33,0.33,0.33
815719456 , 0.33,0.33,0.33
815719457 , 0.33,0.33,0.33
815719458 , 0.33,0.33,0.33
815719459 , 0.33,0.33,0.33
815719460 , 0.0189787,0.980415,0.000606521
815719461 , 0.00702711,0.0717849,0.921188
815719462 , 0.0590535,0.0336852,0.907261
815719463 , 0.33,0.33,0.33
815719464 , 0.33,0.33,0.33
815719465 , 0.33,0.33,0.33
815719466 , 0.33,0.33,0.33
815719467 , 0.33,0.33,0.33
815719468 , 0.00199315,0.0119843,0.986023
815719469 , 0.985905,0.0126259,0.00146946
815719470 , 0.050464,0.831075,0.118461
815719471 , 0.33,0.33,0.33
815719472 , 0.33,0.33,0.33
815719473 , 0.33,0.33,0.33
815719474 , 0.33,0.33,0.33
815719475 , 0.33,0.33,0.33
815719476 , 0.0725442,0.00778095,0.919675
815719477 , 0.33,0.33,0.33
815719478 , 0.33,0.33,0.33
815719479 , 0.33,0.33,0.33
815719480 , 0.33,0.33,0.33
815719481 , 0.33,0.33,0.33
815719482 , 0.00247145,0.000191337,0.997337
815719483 , 0.33,0.33,0.33
815719484 , 0.00131482,0.00171656,0.996969
815719485 , 0.33,0.33,0.33
815719486 , 0.715842,0.161716,0.122442
815719487 , 0.264978,0.60634,0.128682
815719488 , 0.33,0.33,0.33
815719489 , 0.969467,0.0273915,0.00314176
815719490 , 0.33,0.33,0.33
815719491 , 0.33,0.33,0.33
815719492 , 0.33,0.33,0.33
815719493 , 0.73874,0.228625,0.0326351
815719494 , 0.33,0.33,0.33
815719495 , 0.33,0.33,0.33
815719496 , 0.33,0.33,0.33
815719497 , 0.33,0.33,0.33
815719498 , 0.33,0.33,0.33
815719499 , 0.0970178,0.759564,0.143418
815719500 , 0.33,0.33,0.33
815719501 , 0.816213,0.137531,0.0462554
815719502 , 0.33,0.33,0.33
815719503 , 0.33,0.33,0.33
815719504 , 0.33,0.33,0.33
815719505 , 0.0177277,0.0014157,0.980857
815719506 , 0.33,0.33,0.33
815719507 , 0.848371,0.149646,0.00198245
815719508 , 0.33,0.33,0.33
815719509 , 0.33,0.33,0.33
815719510 , 0.00527713,0.972134,0.022589
815719511 , 0.87374,0.00365533,0.122604
815719512 , 0.000120976,0.000491203,0.999388
815719513 , 0.33,0.33,0.33
815719514 , 0.33,0.33,0.33
815719515 , 0.980971,0.0166741,0.00235446
815719516 , 0.08684,0.840124,0.0730361
815719517 , 0.33,0.33,0.33
815719518 , 0.33,0.33,0.33
815719519 , 0.33,0.33,0.33
815719520 , 0.33,0.33,0.33
815719521 , 0.029119,0.0243059,0.946575
815719522 , 0.000318353,0.999506,0.000175829
815719523 , 0.283948,0.705878,0.0101745
815719524 , 0.0418928,0.00266226,0.955445
815719525 , 0.394121,0.57642,0.0294596
815719527 , 0.153806,0.135587,0.710608
815719528 , 0.00129415,0.0164805,0.982225
815719529 , 0.33,0.33,0.33
815719530 , 0.00817195,0.000101588,0.991727
815719531 , 0.33,0.33,0.33
815719532 , 0.33,0.33,0.33
815719533 , 0.33,0.33,0.33
815719534 , 0.981517,0.00927592,0.00920754
815719535 , 0.33,0.33,0.33
815719536 , 0.422986,0.563304,0.0137101
815719537 , 0.33,0.33,0.33
815719538 , 0.33,0.33,0.33
815719539 , 0.33,0.33,0.33
815719540 , 0.0752905,0.0651082,0.859601
815719541 , 0.33,0.33,0.33
815719542 , 0.972557,0.00361368,0.023829
815719543 , 0.33,0.33,0.33
815719544 , 0.33,0.33,0.33
815719545 , 0.33,0.33,0.33
815719546 , 0.0688639,0.0382511,0.892885
815719547 , 0.33,0.33,0.33
815719548 , 0.000797993,0.00479272,0.994409
815719549 , 0.813956,0.0989195,0.0871246
815719550 , 0.33,0.33,0.33
815719551 , 0.33,0.33,0.33
815719552 , 0.0366137,0.0674766,0.89591
815719553 , 0.33,0.33,0.33
815719554 , 0.0111549,0.985993,0.00285194
815719555 , 0.33,0.33,0.33
815719556 , 0.000166549,0.000700164,0.999133
815719557 , 0.000380653,0.000139365,0.99948
815719558 , 0.33,0.33,0.33
815719559 , 0.33,0.33,0.33
815719560 , 0.33,0.33,0.33
815719561 , 0.33,0.33,0.33
815719562 , 0.0185785,0.974688,0.00673357
815719563 , 0.33,0.33,0.33
815719564 , 0.00558385,0.993589,0.000827545
815719565 , 0.345984,0.648283,0.00573347
815719566 , 0.26223,0.728444,0.00932586
815719567 , 0.681402,0.0499039,0.268695
815719568 , 0.0135311,0.984563,0.00190573
815719569 , 0.00131704,0.00564726,0.993036
815719570 , 0.33,0.33,0.33
815719571 , 0.33,0.33,0.33
815719572 , 0.33,0.33,0.33
815719573 , 0.33,0.33,0.33
815719574 , 0.97861,0.0177324,0.003658
815719575 , 0.309598,0.410679,0.279723
815719576 , 0.0285956,0.000413631,0.970991
815719577 , 0.0113974,0.23317,0.755433
815719578 , 0.33,0.33,0.33
815719579 , 0.510313,0.488709,0.000978452
815719580 , 0.33,0.33,0.33
815719581 , 0.33,0.33,0.33
815719582 , 0.33,0.33,0.33
815719583 , 0.33,0.33,0.33
815719584 , 0.0504737,0.725806,0.223721
815719585 , 4.43943e-07,0.00724918,0.99275
815719586 , 0.33,0.33,0.33
815719587 , 0.008145,0.00128449,0.990571
815719588 , 0.33,0.33,0.33
815719589 , 0.33,0.33,0.33
815719590 , 0.33,0.33,0.33
815719591 , 0.33,0.33,0.33
815719592 , 0.779222,0.192078,0.0287001
815719593 , 0.33,0.33,0.33
815719594 , 0.33,0.33,0.33
815719595 , 0.360225,0.631685,0.00808995
815719596 , 0.727326,0.00497994,0.267694
815719597 , 0.33,0.33,0.33
815719598 , 0.0109098,0.656891,0.3322
815719599 , 0.33,0.33,0.33
815719600 , 9.62527e-06,1.44182e-08,0.99999
815719601 , 0.33,0.33,0.33
815719602 , 0.33,0.33,0.33
815719603 , 0.33,0.33,0.33
815719604 , 0.33,0.33,0.33
815719605 , 0.00418834,0.0288136,0.966998
815719606 , 0.33,0.33,0.33
815719607 , 0.33,0.33,0.33
815719608 , 0.0123131,0.00252123,0.985166
815719609 , 0.33,0.33,0.33
815719610 , 0.33,0.33,0.33
815719611 , 4.86698e-05,8.25241e-08,0.999951
815719612 , 0.33,0.33,0.33
815719613 , 0.000782185,3.27809e-05,0.999185
815719614 , 0.33,0.33,0.33
815719615 , 0.33,0.33,0.33
815719616 , 0.33,0.33,0.33
815719617 , 0.0485457,0.930625,0.0208296
815719618 , 0.33,0.33,0.33
815719619 , 0.33,0.33,0.33
815719620 , 0.33,0.33,0.33
815719621 , 0.913842,0.059344,0.0268142
815719622 , 0.33,0.33,0.33
815719623 , 0.0599063,0.925029,0.0150646
815719624 , 0.33,0.33,0.33
815719625 , 0.33,0.33,0.33
815719626 , 0.0307703,0.0116659,0.957564
815719627 , 0.0268203,0.971308,0.0018713
815719628 , 0.33,0.33,0.33
815719629 , 0.318702,0.655149,0.0261489
815719630 , 0.33,0.33,0.33
815719631 , 0.33,0.33,0.33
815719632 , 0.33,0.33,0.33
815719633 , 0.223807,0.442398,0.333795
815719634 , 0.721682,0.275989,0.00232886
815719635 , 0.33,0.33,0.33
815719636 , 0.150659,0.830453,0.0188879
815719637 , 0.011413,0.000730505,0.987856
815719638 , 0.604189,0.383652,0.0121595
815719639 , 0.33,0.33,0.33
815719640 , 0.33,0.33,0.33
815719641 , 0.33,0.33,0.33
815719642 , 0.33,0.33,0.33
815719643 , 0.33,0.33,0.33
815719644 , 0.33,0.33,0.33
815719645 , 0.33,0.33,0.33
815719646 , 0.33,0.33,0.33
815719647 , 0.0091808,0.0107676,0.980052
815719648 , 0.33,0.33,0.33
815719649 , 0.03327,0.0108271,0.955903
815719650 , 0.33,0.33,0.33
815719651 , 0.562478,0.42733,0.0101922
815719652 , 0.863226,0.121301,0.0154725
815719653 , 0.33,0.33,0.33
815719654 , 0.858421,0.0568358,0.0847437
815719655 , 0.33,0.33,0.33
815719656 , 0.33,0.33,0.33
815719657 , 0.0487428,0.0948249,0.856432
815719658 , 0.33,0.33,0.33
815719659 , 0.793846,0.187276,0.0188783
815719660 , 0.0039415,0.0125344,0.983524
815719661 , 0.0123131,0.00252123,0.985166
815719662 , 0.33,0.33,0.33
815719663 , 0.33,0.33,0.33
815719664 , 0.0140767,0.000605563,0.985318
815719665 , 0.167633,0.0660169,0.76635
815719666 , 0.0729797,0.0174463,0.909574
815719667 , 0.33,0.33,0.33
815719668 , 0.188597,0.673229,0.138174
815719669 , 0.33,0.33,0.33
815719670 , 0.33,0.33,0.33
815719671 , 0.874733,0.0801735,0.0450936
815719672 , 0.33,0.33,0.33
815719673 , 0.00127048,0.0294589,0.969271
815719674 , 0.33,0.33,0.33
815719675 , 7.37742e-06,1.74049e-05,0.999975
815719676 , 0.33,0.33,0.33
815719677 , 0.33,0.33,0.33
815719678 , 0.33,0.33,0.33
815719679 , 0.812251,0.173054,0.0146945
815719680 , 0.273953,0.722052,0.003995
815719681 , 9.62527e-06,1.44182e-08,0.99999
815719682 , 0.00817195,0.000101588,0.991727
815719683 , 0.0667704,0.0862262,0.847003
815719684 , 0.00211734,0.000531873,0.997351
815719685 , 0.00262183,0.0205384,0.97684
815719686 , 0.33,0.33,0.33
815719687 , 0.33,0.33,0.33
815719688 , 0.33,0.33,0.33
815719689 , 0.33,0.33,0.33
815719690 , 0.00956469,0.0179139,0.972521
815719691 , 0.00238805,0.254356,0.743256
815719692 , 0.000382992,0.00295963,0.996657
815719693 , 0.33,0.33,0.33
815719694 , 0.000130726,2.57621e-05,0.999843
815719695 , 0.33,0.33,0.33
815719696 , 0.664873,0.0183903,0.316737
815719697 , 0.33,0.33,0.33
815719698 , 0.33,0.33,0.33
815719699 , 0.33,0.33,0.33
815719700 , 0.33,0.33,0.33
815719701 , 0.0319515,0.965295,0.00275366
815719702 , 0.00227668,0.000392499,0.997331
815719703 , 0.33,0.33,0.33
815719704 , 0.33,0.33,0.33
815719705 , 0.00260751,0.996919,0.000473558
815719706 , 0.763501,0.0270453,0.209454
815719707 , 0.0725442,0.00778095,0.919675
815719708 , 0.33,0.33,0.33
815719709 , 0.0205316,0.0283424,0.951126
815719710 , 0.0203982,0.956345,0.0232564
815719711 , 0.33,0.33,0.33
815719712 , 0.362578,0.491315,0.146107
815719713 , 0.00581234,0.0277442,0.966443
815719714 , 0.33,0.33,0.33
815719715 , 0.33,0.33,0.33
815719716 , 0.332452,0.561693,0.105854
815719717 , 0.33,0.33,0.33
815719718 , 0.33,0.33,0.33
815719719 , 0.33,0.33,0.33
815719720 , 0.0919221,0.0845103,0.823568
815719721 , 0.33,0.33,0.33
815719722 , 0.33,0.33,0.33
815719723 , 0.33,0.33,0.33
815719724 , 0.33,0.33,0.33
815719725 , 0.124288,0.866512,0.0091998
815719726 , 0.33,0.33,0.33
815719728 , 0.33,0.33,0.33
815719729 , 0.774272,0.223849,0.00187908
815719730 , 0.954604,0.0306734,0.0147226
815719731 , 0.33,0.33,0.33
815719732 , 0.33,0.33,0.33
815719733 , 0.33,0.33,0.33
815719734 , 0.33,0.33,0.33
815719735 , 0.33,0.33,0.33
815719736 , 0.33,0.33,0.33
815719737 , 0.0772464,0.914934,0.00781947
815719738 , 0.33,0.33,0.33
815719739 , 0.51062,0.320622,0.168758
815719740 , 0.00264624,0.0691441,0.92821
815719741 , 0.00161288,2.57981e-05,0.998361
815719742 , 0.33,0.33,0.33
815719743 , 0.33,0.33,0.33
815719744 , 0.00180727,0.000790508,0.997402
815719745 , 0.33,0.33,0.33
815719746 , 0.33,0.33,0.33
815719747 , 0.120297,0.573744,0.305959
815719748 , 0.33,0.33,0.33
815719749 , 0.213149,0.764394,0.0224571
815719750 , 0.33,0.33,0.33
815719751 , 0.0392743,0.00110027,0.959625
815719752 , 0.33,0.33,0.33
815719753 , 0.33,0.33,0.33
815719754 , 0.865059,0.0945897,0.0403512
815719755 , 0.0242846,0.03143,0.944285
815719756 , 0.000253632,0.00111981,0.998627
815719757 , 0.33,0.33,0.33
815719758 , 0.00469279,0.0132192,0.982088
815719759 , 0.35958,0.615064,0.0253558
815719760 , 0.33,0.33,0.33
815719761 , 0.33,0.33,0.33
815719762 , 0.33,0.33,0.33
815719763 , 0.33,0.33,0.33
815719764 , 0.150953,0.168269,0.680778
815719765 , 0.33,0.33,0.33
815719766 , 0.33,0.33,0.33
815719767 , 0.281735,0.67123,0.047036
815719768 , 0.33,0.33,0.33
815719769 , 0.544059,0.436248,0.0196927
815719770 , 0.199624,0.587599,0.212778
815719771 , 0.33,0.33,0.33
815719772 , 0.33,0.33,0.33
815719773 , 0.33,0.33,0.33
815719774 , 0.33,0.33,0.33
815719775 , 0.872702,0.10986,0.0174388
815719776 , 0.00340419,0.00450188,0.992094
815719777 , 0.499132,0.177955,0.322913
815719778 , 0.426587,0.224299,0.349114
815719779 , 7.35532e-05,0.00074051,0.999186
815719780 , 0.33,0.33,0.33
815719781 , 0.33,0.33,0.33
815719782 , 0.33,0.33,0.33
815719783 , 0.979667,0.00964283,0.0106903
815719784 , 0.42416,0.550594,0.0252468
815719785 , 0.761033,0.228125,0.0108413
815719786 , 0.378545,0.615209,0.00624587
815719787 , 0.33,0.33,0.33
815719788 , 0.33,0.33,0.33
815719789 , 0.0113596,0.971403,0.0172369
815719790 , 0.554067,0.441179,0.00475331
815719791 , 0.403962,0.547998,0.0480402
815719792 , 0.33,0.33,0.33
815719793 , 0.33,0.33,0.33
815719794 , 0.33,0.33,0.33
815719795 , 0.33,0.33,0.33
815719796 , 0.88059,0.101391,0.0180188
815719797 , 0.369401,0.623282,0.007317
815719798 , 0.738457,0.0956742,0.165869
815719799 , 0.33,0.33,0.33
815719800 , 0.33,0.33,0.33
815719801 , 0.054023,0.0505104,0.895467
815719802 , 0.00276378,0.00489328,0.992343
815719803 , 0.33,0.33,0.33
815719804 , 0.33,0.33,0.33
815719805 , 0.0176691,0.0479642,0.934367
815719806 , 0.000514656,0.998749,0.000736626
815719807 , 0.0305548,0.00184321,0.967602
815719808 , 0.186732,0.0558482,0.75742
815719809 , 0.33,0.33,0.33
815719810 , 0.33,0.33,0.33
815719811 , 0.96132,0.0331487,0.00553161
815719812 , 0.88324,0.0108647,0.105896
815719813 , 0.386526,0.0231783,0.590295
815719814 , 0.010512,0.00684176,0.982646
815719815 , 0.0111631,0.042878,0.945959
815719816 , 0.864219,0.106073,0.0297085
815719817 , 0.0261522,0.962644,0.0112035
815719818 , 0.133738,0.069938,0.796324
815719819 , 0.688474,0.309893,0.00163332
815719820 , 0.653987,0.0846906,0.261323
815719821 , 0.477967,0.299133,0.2229
815719822 , 0.33,0.33,0.33
815719823 , 0.939828,0.0446943,0.0154775
815719824 , 0.33,0.33,0.33
815719825 , 0.939843,0.0482794,0.0118779
815719826 , 0.33,0.33,0.33
815719827 , 0.33,0.33,0.33
815719829 , 0.806762,0.105902,0.0873363
815719830 , 0.0318118,0.00944999,0.958738
815719831 , 0.00116766,0.452476,0.546357
815719832 , 0.33,0.33,0.33
815719833 , 0.680245,0.310702,0.00905281
815719834 , 0.776625,0.102871,0.120504
815719835 , 0.33,0.33,0.33
815719836 , 0.00107295,0.0012782,0.997649
815719837 , 0.33,0.33,0.33
815719838 , 0.33,0.33,0.33
815719839 , 0.33,0.33,0.33
815719840 , 0.33,0.33,0.33
815719841 , 0.0212244,0.897722,0.0810532
815719842 , 0.981396,0.0143838,0.00421982
815719843 , 0.33,0.33,0.33
815719844 , 0.00698345,0.842024,0.150992
815719845 , 0.0148869,0.0237671,0.961346
815719846 , 0.33,0.33,0.33
815719847 , 0.33,0.33,0.33
815719848 , 0.33,0.33,0.33
815719849 , 0.149102,0.84438,0.00651793
815719850 , 0.33,0.33,0.33
815719851 , 0.868631,0.129515,0.00185376
815719852 , 0.33,0.33,0.33
815719853 , 0.33,0.33,0.33
815719854 , 0.33,0.33,0.33
815719855 , 0.33,0.33,0.33
815719856 , 0.0284981,0.0344702,0.937032
815719857 , 0.0335124,0.21487,0.751618
815719858 , 0.33,0.33,0.33
815719859 , 0.00276378,0.00489328,0.992343
815719860 , 0.571491,0.415229,0.0132795
815719861 , 0.33,0.33,0.33
815719862 , 0.33,0.33,0.33
815719863 , 0.33,0.33,0.33
815719864 , 0.33,0.33,0.33
815719865 , 0.33,0.33,0.33
815719866 , 0.33,0.33,0.33
815719867 , 0.33,0.33,0.33
815719868 , 0.33,0.33,0.33
815719869 , 0.141307,0.855059,0.00363362
815719870 , 0.33,0.33,0.33
815719871 , 0.0148869,0.0237671,0.961346
815719872 , 0.33,0.33,0.33
815719873 , 0.33,0.33,0.33
815719874 , 0.832591,0.141235,0.0261744
815719875 , 0.139006,0.806972,0.0540221
815719876 , 0.33,0.33,0.33
815719877 , 0.139804,0.14951,0.710685
815719878 , 0.33,0.33,0.33
815719879 , 0.33,0.33,0.33
815719880 , 0.33,0.33,0.33
815719881 , 0.33,0.33,0.33
815719882 , 0.33,0.33,0.33
815719883 , 0.0107005,0.987959,0.00134055
815719884 , 0.33,0.33,0.33
815719885 , 0.33,0.33,0.33
815719886 , 0.330129,0.571015,0.0988558
815719887 , 0.00276378,0.00489328,0.992343
815719888 , 0.0758097,0.0390208,0.88517
815719889 , 0.33,0.33,0.33
815719890 , 0.909948,0.0774845,0.0125678
815719891 , 0.643773,0.258725,0.0975021
815719892 , 0.33,0.33,0.33
815719893 , 0.33,0.33,0.33
815719894 , 0.00530282,0.0141042,0.980593
815719895 , 0.33,0.33,0.33
815719896 , 0.33,0.33,0.33
815719897 , 0.33,0.33,0.33
815719898 , 0.33,0.33,0.33
815719899 , 0.33,0.33,0.33
815719900 , 0.909447,0.00150245,0.0890503
815719901 , 0.33,0.33,0.33
815719902 , 0.0619694,0.936789,0.00124187
815719903 , 0.33,0.33,0.33
815719904 , 0.33,0.33,0.33
815719905 , 0.33,0.33,0.33
815719906 , 0.33,0.33,0.33
815719907 , 0.33,0.33,0.33
815719908 , 0.902386,0.0911327,0.00648119
815719909 , 0.33,0.33,0.33
815719910 , 0.33,0.33,0.33
815719911 , 0.33,0.33,0.33
815719912 , 0.556814,0.432917,0.0102686
815719913 , 0.33,0.33,0.33
815719914 , 0.962783,0.0234534,0.0137633
815719915 , 0.33,0.33,0.33
815719916 , 0.33,0.33,0.33
815719917 , 0.33,0.33,0.33
815719918 , 0.0293896,0.0369916,0.933619
815719919 , 0.607124,0.341162,0.051714
815719920 , 0.416997,0.398654,0.18435
815719921 , 0.33,0.33,0.33
815719922 , 0.33,0.33,0.33
815719923 , 0.33,0.33,0.33
815719924 , 0.33,0.33,0.33
815719925 , 0.33,0.33,0.33
815719926 , 0.33,0.33,0.33
